constructive,Quotes,Punc_Freq,Punc_Type,Exclamation,Stopwords,Camelcase,Negation,Propn,Usermention,Hashtags,Misspel,OutofVocab,Noun,Past_Tense,Verbs,Interrogation,word_count,mean_word_length,ttr,mtld,sentiment_score,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
1.0,0.0,2.0,3.0,0.0,11.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,7.0,4.666666666666667,1.0,4.333333333333333,1.0,67.0,4.313432835820896,0.8208955223880597,5.583333333333335,0.75,0.0,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.2,0.2,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666
1.0,0.0,2.0,4.0,0.0,13.0,0.0,0.0,1.8,0.0,0.0,2.2,10.4,6.0,0.4,6.2,0.6,134.0,4.052238805970149,0.6343283582089553,84.15219800517178,0.0,0.1111111111111111,0.074074074074074,0.074074074074074,0.074074074074074,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.037037037037037,0.074074074074074
1.0,0.3076923076923077,2.5384615384615383,5.0,0.0,6.307692307692308,0.0,0.0,1.0,0.0,0.0,1.6153846153846154,6.461538461538462,3.615384615384616,1.0,3.076923076923077,0.3846153846153846,193.0,4.476683937823834,0.6062176165803109,137.0571166768479,1.375,0.12,0.08,0.14,0.02,0.2,0.16,0.1,0.04,0.08,0.06
1.0,0.0,3.6666666666666665,7.0,0.0,6.166666666666667,0.0,0.0,1.1666666666666667,0.0,0.0,3.6666666666666665,8.166666666666666,5.166666666666667,0.8333333333333334,3.1666666666666665,0.1666666666666666,110.0,4.390909090909091,0.7090909090909091,63.95348837209303,-0.75,0.0952380952380952,0.1428571428571428,0.0476190476190476,0.0,0.1428571428571428,0.1904761904761904,0.1428571428571428,0.1428571428571428,0.0,0.0952380952380952
1.0,0.0,1.5714285714285714,2.0,0.0,10.428571428571429,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,1.0,7.285714285714286,4.142857142857143,1.0,4.0,0.4285714285714285,148.0,3.939189189189189,0.6959459459459459,96.67936853565595,-4.375,0.0606060606060606,0.0909090909090909,0.0606060606060606,0.0303030303030303,0.1212121212121212,0.2121212121212121,0.1212121212121212,0.0606060606060606,0.0606060606060606,0.1818181818181818
1.0,0.0,1.5,6.0,0.0833333333333333,8.25,0.0,0.3333333333333333,0.5,0.0,0.0,0.75,5.666666666666667,3.75,0.6666666666666666,3.25,0.5,191.0,4.031413612565445,0.643979057591623,129.46741154562383,-3.125,0.0,0.09375,0.15625,0.03125,0.3125,0.15625,0.03125,0.0625,0.0625,0.09375
1.0,0.0,1.125,3.0,0.0,5.25,0.0,0.25,0.75,0.0,0.0,1.0,3.125,3.0,0.375,2.0,0.25,100.0,4.19,0.8,5.000000000000001,0.5,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0769230769230769,0.4615384615384615,0.0769230769230769,0.0769230769230769,0.0,0.1538461538461538
1.0,0.0,1.25,2.0,0.0,10.0,0.0,0.0,1.75,0.0,0.0,0.5,6.5,6.0,0.0,2.25,0.25,85.0,4.470588235294118,0.7176470588235294,118.44262295081968,-0.75,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.2857142857142857,0.2142857142857142,0.0,0.0,0.0,0.0714285714285714
1.0,0.0,11.428571428571429,5.0,0.0,5.428571428571429,0.0,0.0,2.4285714285714284,0.0,0.0,1.7142857142857142,6.571428571428571,5.428571428571429,0.4285714285714285,2.142857142857143,0.1428571428571428,117.0,5.547008547008547,0.7435897435897436,3.9,0.5,0.0526315789473684,0.1052631578947368,0.2105263157894736,0.0,0.3684210526315789,0.1578947368421052,0.0,0.0526315789473684,0.0526315789473684,0.0
1.0,0.0,1.5714285714285714,3.0,0.0,7.071428571428571,0.0,0.2142857142857142,1.5714285714285714,0.0,0.0,1.0,6.5,4.357142857142857,0.6428571428571429,3.0,0.5,234.0,4.568376068376068,0.6709401709401709,97.0007315288954,-0.75,0.1063829787234042,0.0851063829787234,0.0851063829787234,0.0212765957446808,0.1489361702127659,0.2340425531914893,0.1063829787234042,0.1063829787234042,0.0212765957446808,0.0851063829787234
